subject,course_number,title,department_code,cipc_code,hr_low,hr_high,department_desc
ACC,201,Principles of Accounting I,BUS,520101,3,,Business
ACC,202,Principles of Accounting II,BUS,520101,3,,Business
ACC,301,Intermediate Accounting I,BUS,520101,3,,Business
ACC,302,Intermediate Accounting II,BUS,520101,3,,Business
ACC,305,Cost Accounting,BUS,520101,3,,Business
ACC,310,Accounting Information Systems,BUS,520101,3,,Business
ACC,405,Principles of Taxation,BUS,520101,3,,Business
ACC,410,Auditing,BUS,520101,3,,Business
ACC,411,Accounting Internship,BUS,520101,1,3,Business
ACC,490,Independent Study,BUS,520101,1,3,Business
ACC,499,Selected Topics,BUS,520101,1,3,Business
ARA,101,Modern Standard Arabic I,FL,,4,,Foreign Languages
ARA,102,Modern Standard Arabic II,FL,,4,,Foreign Languages
ARA,201,Inter. Modrn Standard Arabic I,FL,,3,,Foreign Languages
ARA,202,Inter. Modern Arabic II,FL,,3,,Foreign Languages
ARA,301,Adv Modern Standard Arabic,FL,,3,,Foreign Languages
ARA,302,Adv Modern Standard Arabic II,FL,,3,,Foreign Languages
ART,100,Introduction to Art,ART,,3,,Art
ART,110,Drawing Principles,ART,,3,,Art
ART,111,Introduction to Art,ART,,3,,Art
ART,115,Drawing II,ART,,3,,Art
ART,120,2D Form and Concept,ART,,3,,Art
ART,130,3D Form and Concept,ART,,3,,Art
ART,201,Drawing I,ART,,3,,Art
ART,202,Drawing II,ART,,3,,Art
ART,210,Two-Dimensional Design,ART,,3,,Art
ART,211,Three-Dimensional Design,ART,,3,,Art
ART,220,Communication Design,ART,,3,,Art
ART,222,Painting I,ART,,3,,Art
ART,223,Painting on Paper,ART,,3,,Art
ART,230,Sculpture,ART,,3,,Art
ART,234,Ceramics I,ART,,3,,Art
ART,235,Ceramics,ART,,3,,Art
ART,237,Fibers,ART,,3,,Art
ART,239,Adornment,ART,,3,,Art
ART,240,Darkroom Photography,ART,,3,,Art
ART,250,Painting,ART,,3,,Art
ART,270,Introduction to Art History,ART,,3,,Art
ART,299,Special Studies,ART,,1,4,Art
ART,301,Art History I,ART,,3,,Art
ART,302,Art History II,ART,,3,,Art
ART,310,Figure Drawing,ART,,3,,Art
ART,320,Publication Design,ART,,3,,Art
ART,322,Painting II,ART,,3,,Art
ART,330,Adv Fig Sculpt: Strct/Frm/Anat,ART,,3,,Art
ART,331,Adv Figure Sculpt: Composition,ART,,3,,Art
ART,334,Ceramics II,ART,,3,,Art
ART,335,Advanced Ceramics,ART,,3,,Art
ART,340,Digital Photography,ART,,3,,Art
ART,350,Advanced Painting,ART,,3,,Art
ART,355,Adv Painting: Space/Mat/Concpt,ART,,3,,Art
ART,370,History&Theory of Photography,ART,,3,,Art
ART,371,"Women, Art, and Culture",ART,,3,,Art
ART,372,Global Modernisms,ART,,3,,Art
ART,380,Special Studies,ART,,1,3,Art
ART,399,Special Studies,ART,,1,5,Art
ART,410,Art/Criticism 1970 to Present,ART,,3,,Art
ART,411,Art Internship,ART,,1,6,Art
ART,420,Interactive Design,ART,,3,,Art
ART,422,Painting III,ART,,3,4,Art
ART,425,Brand Design,ART,,3,,Art
ART,434,Ceramics III,ART,,3,,Art
ART,439,Mixed Media Materials,ART,,3,,Art
ART,440,Adv Digital Photo: Documentary,ART,,3,,Art
ART,443,Adv Dgtl Photo: Construct Imag,ART,,3,,Art
ART,444,Ceramics III,ART,,3,,Art
ART,445,Adv Darkroom Photo: Alt Procss,ART,,3,,Art
ART,450,Sculpture III,ART,,3,,Art
ART,470,Art & Criticism: 1970-Present,ART,,3,,Art
ART,491,Senior Seminar,ART,,3,,Art
ART,492,Senior Project,ART,,3,,Art
BIB,111,Old Testament Introduction,BIB,390201,3,,Biblical & Theological Studies
BIB,142,New Testament Introduction,BIB,390201,3,,Biblical & Theological Studies
BIB,201,Current Issues in Biblical Stu,BIB,390201,3,,Biblical & Theological Studies
BIB,211,Intro to Relat Yth Min,BIB,390201,3,,Biblical & Theological Studies
BIB,212,Prep for Rel Yth Min Skills,BIB,390201,3,,Biblical & Theological Studies
BIB,213,Youth Ministry Practicum,BIB,390201,3,,Biblical & Theological Studies
BIB,214,Youth Ministry Practicum II,BIB,390201,3,,Biblical & Theological Studies
BIB,250,Biblical Lit and Theology,OM,521003,3,,Organizational Management
BIB,251,Biblical Literature,BIB,,3,,Biblical & Theological Studies
BIB,252,Christian Doctrine,BIB,390201,3,,Biblical & Theological Studies
BIB,253,Spirituality in the Workplace,OM,521003,3,,Organizational Management
BIB,277,Christian Doctrine I,BIB,390201,3,,Biblical & Theological Studies
BIB,278,Christian Doctrine II,BIB,390201,3,,Biblical & Theological Studies
BIB,280,Theology & Ministry Conference,BIB,,1,,Biblical & Theological Studies
BIB,297,Special Topics,BIB,390201,0,3,Biblical & Theological Studies
BIB,302,Hist/Expansion Christianity I,BIB,,3,,Biblical & Theological Studies
BIB,303,Hist/Expansion Christianity II,BIB,,3,,Biblical & Theological Studies
BIB,311,Pent and Hist Studies,BIB,390201,3,,Biblical & Theological Studies
BIB,322,Deuteronomy/OldTestamentEthics,BIB,390201,3,,Biblical & Theological Studies
BIB,327,Psalms,BIB,390201,3,,Biblical & Theological Studies
BIB,329,Prophets of Israel,BIB,390201,3,,Biblical & Theological Studies
BIB,342,The Gospel and Acts,BIB,390201,3,,Biblical & Theological Studies
BIB,346,Gospel of John,BIB,390201,3,,Biblical & Theological Studies
BIB,348,Pauline Epistles,BIB,390201,3,,Biblical & Theological Studies
BIB,349,Romans,BIB,390201,3,,Biblical & Theological Studies
BIB,355,Ephesians & Colossians,BIB,,1,3,Biblical & Theological Studies
BIB,358,General Epistles,BIB,,3,,Biblical & Theological Studies
BIB,360,Christian Spirituality,BIB,,3,,Biblical & Theological Studies
BIB,362,Science and Theology,BIB,,3,,Biblical & Theological Studies
